time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-14T04:14:16.000Z,61.5162,-151.9834,9.3,1,ml,,,,0.24,ak,ak13645961,2016-06-17T00:35:59.146Z,"99km NNW of Nikiski, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-06-14T04:11:55.840Z,47.538,-122.348,28.07,1.59,ml,13,208,0.298,0.15,uw,uw61167756,2016-06-14T18:11:01.556Z,"2km NNE of White Center, Washington",earthquake,0.95,1.5,0.135,9,reviewed,uw,uw
2016-06-14T04:07:15.000Z,61.1084,-150.9818,64,1.2,ml,,,,0.78,ak,ak13653674,2016-06-17T00:37:35.166Z,"49km NNE of Nikiski, Alaska",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-06-14T03:53:43.190Z,38.2595,-116.0667,1.8,1.3,ml,7,177.66,0.388,0.2295,nn,nn00547934,2016-06-16T13:28:45.002Z,"27km ENE of Warm Springs, Nevada",earthquake,2.52,3.9,0.16,2,reviewed,nn,nn
2016-06-14T03:45:55.452Z,38.0512,-118.5587,5.4,1,ml,10,91.96,0.175,0.0682,nn,nn00547931,2016-06-16T13:28:39.024Z,"52km S of Hawthorne, Nevada",earthquake,2.76,6.8,0.02,2,reviewed,nn,nn
2016-06-14T03:45:30.030Z,12.8627,-86.9689,9.54,5,mb,,85,0.183,1.11,us,us20006488,2016-06-16T17:53:35.000Z,"21km SSW of Somotillo, Nicaragua",earthquake,3.4,4.6,0.027,446,reviewed,us,us
2016-06-14T03:43:53.000Z,53.2202,-166.2075,13,1.4,ml,,,,0.29,ak,ak13653673,2016-06-17T00:37:33.227Z,"75km SSE of Unalaska, Alaska",earthquake,5.4,7.2,,,reviewed,ak,ak
2016-06-14T03:41:52.000Z,60.9601,-150.11,31.8,1.5,ml,,,,0.51,ak,ak13645756,2016-06-17T00:35:56.900Z,"30km SSW of Anchorage, Alaska",earthquake,0.1,0.2,,,reviewed,ak,ak
2016-06-14T03:10:43.000Z,54.3794,-161.555,34.1,2.9,ml,,,,0.59,ak,ak13645754,2016-06-17T00:39:12.299Z,"116km SE of Cold Bay, Alaska",earthquake,1,1.5,,,reviewed,ak,ak
2016-06-14T03:10:06.000Z,60.08,-134.1864,9,1.7,ml,,,,0.72,ak,ak13645755,2016-06-19T22:49:09.319Z,"62km NNW of Atlin, Canada",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-06-14T02:57:51.000Z,62.066,-150.6335,11.2,1,ml,,,,0.54,ak,ak13645753,2016-06-17T00:36:03.151Z,"39km SW of Talkeetna, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-06-14T02:55:30.020Z,36.2159,-97.2866,5,2.9,mb_lg,,36,0.329,0.17,us,us20006482,2016-06-14T03:35:47.980Z,"8km S of Perry, Oklahoma",earthquake,1.2,6.5,0.065,62,reviewed,us,us
2016-06-14T02:32:29.960Z,36.96,-121.5895,8.32,1.77,md,42,43,0.07543,0.15,nc,nc72651206,2016-06-15T06:47:02.362Z,"5km SSW of Gilroy, California",earthquake,0.26,0.74,0.27,38,reviewed,nc,nc
2016-06-14T02:32:22.210Z,39.114,-119.6577,10.8,1.1,ml,10,165.64,0.052,0.1549,nn,nn00547930,2016-06-16T13:28:32.188Z,"9km NE of Johnson Lane, Nevada",earthquake,1.9,1.4,0.22,6,reviewed,nn,nn
2016-06-14T02:25:32.240Z,34.9853333,-116.9483333,5.19,1.6,ml,31,53,0.1168,0.15,ci,ci37369837,2016-06-14T23:14:33.006Z,"12km NE of Barstow, CA",earthquake,0.17,0.58,0.135,45,reviewed,ci,ci
2016-06-14T02:12:24.000Z,60.1022,-151.6571,69.2,2.6,ml,,,,0.67,ak,ak13645744,2016-06-17T00:36:12.360Z,"35km SSW of Cohoe, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-06-14T01:22:14.000Z,60.029,-153.8442,165.1,1.7,ml,,,,0.32,ak,ak13653664,2016-06-17T00:37:27.161Z,"67km ENE of Old Iliamna, Alaska",earthquake,1,0.7,,,reviewed,ak,ak
2016-06-14T01:10:07.000Z,60.0743,-134.1741,18.4,2.5,ml,,,,0.7,ak,ak13645742,2016-06-19T22:51:19.649Z,"61km NNW of Atlin, Canada",earthquake,0.5,0.4,,,reviewed,ak,ak
2016-06-14T01:01:16.000Z,61.5539,-150.7582,69.5,1.7,ml,,,,0.47,ak,ak13645740,2016-06-17T00:36:04.872Z,"42km W of Big Lake, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-06-14T00:53:39.000Z,63.0569,-151.4982,14.5,1,ml,,,,0.77,ak,ak13653661,2016-06-17T00:37:26.203Z,"108km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
2016-06-14T00:52:31.000Z,61.6529,-147.2868,29.2,1,ml,,,,0.66,ak,ak13653660,2016-06-17T00:37:23.185Z,"76km NW of Valdez, Alaska",earthquake,0.2,0.4,,,reviewed,ak,ak
2016-06-14T00:45:33.000Z,59.3231,-152.6674,65.1,1.7,ml,,,,0.43,ak,ak13645738,2016-06-17T00:36:03.818Z,"69km SW of Anchor Point, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-06-14T00:35:44.000Z,63.8551,-148.8109,105.5,2,ml,,,,0.45,ak,ak13645736,2016-06-17T00:34:48.222Z,"7km E of Healy, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-06-14T00:35:04.000Z,64.8441,-147.7009,12.7,1.6,ml,,,,0.47,ak,ak13645731,2016-06-19T22:48:40.424Z,"1km NE of Fairbanks, Alaska",earthquake,0.2,0.1,,,reviewed,ak,ak
2016-06-14T00:33:37.000Z,61.0865,-148.3574,0,1.6,ml,,,,0.59,ak,ak13645730,2016-06-17T00:35:17.627Z,"39km NNE of Whittier, Alaska",earthquake,0.4,,,,reviewed,ak,ak
2016-06-14T00:33:19.820Z,33.4788333,-116.4626667,12.58,1.2,ml,42,77,0.05413,0.16,ci,ci37386167,2016-06-16T22:07:54.440Z,"21km ESE of Anza, CA",earthquake,0.18,0.36,0.148,49,reviewed,ci,ci
2016-06-14T00:30:35.210Z,-4.4191,153.0084,47.98,4.8,mb,,93,0.872,0.77,us,us2000647c,2016-06-21T04:08:46.562Z,"5km NNW of Taron, Papua New Guinea",earthquake,6.7,5.8,0.053,112,reviewed,us,us
2016-06-14T00:17:57.000Z,64.9825,-148.9677,18.9,1.8,ml,,,,0.57,ak,ak13645727,2016-06-19T22:48:39.185Z,"45km N of North Nenana, Alaska",earthquake,0.2,0.1,,,reviewed,ak,ak
2016-06-14T00:13:54.000Z,61.5037,-151.9478,7.8,1.8,ml,,,,0.62,ak,ak13645723,2016-06-17T00:34:49.194Z,"97km NNW of Nikiski, Alaska",earthquake,0.1,0.1,,,reviewed,ak,ak
2016-06-14T00:13:11.850Z,55.4353,-158.4296,32.19,3,ml,,153,0.785,0.77,us,us200064y0,2016-06-21T00:03:22.992Z,"93km SSE of Chignik Lake, Alaska",earthquake,3.5,10.8,0.081,20,reviewed,us,us
2016-06-13T23:50:49.920Z,38.6582,-118.7888,7.4,1.6,ml,16,97.52,0.211,0.1568,nn,nn00547928,2016-06-14T00:05:37.499Z,"20km NW of Hawthorne, Nevada",earthquake,,2.9,0.26,7,reviewed,nn,nn
2016-06-13T23:36:57.690Z,38.654,-118.7931,6.6,2.1,ml,19,61.69,0.198,0.1804,nn,nn00547923,2016-06-14T06:46:02.845Z,"20km NW of Hawthorne, Nevada",earthquake,,2.5,0.29,7,reviewed,nn,nn
2016-06-13T23:34:58.870Z,-7.0772,117.1795,485.52,4.3,mb,,59,3.277,0.77,us,us20006470,2016-06-20T23:43:54.187Z,"134km NNW of Labuhankananga, Indonesia",earthquake,10.2,7,0.077,48,reviewed,us,us
2016-06-13T23:22:13.780Z,33.7891667,-117.8793333,2.94,1.1,ml,18,232,0.02944,0.14,ci,ci37386103,2016-06-17T00:04:14.514Z,"5km WSW of Orange, CA",earthquake,0.7,0.33,0.1,15,reviewed,ci,ci
2016-06-13T23:22:02.810Z,35.043,-117.6758333,-0.82,1.11,ml,15,58,0.1097,0.17,ci,ci37369957,2016-06-17T00:20:42.535Z,"5km NNW of Boron, CA",quarry blast,0.49,31.61,0.105,8,reviewed,ci,ci
2016-06-13T23:21:07.000Z,59.7523,-152.8263,80.7,1.3,ml,,,,0.26,ak,ak13645523,2016-06-17T01:03:30.225Z,"55km W of Anchor Point, Alaska",earthquake,1,0.9,,,reviewed,ak,ak
2016-06-13T23:13:48.250Z,-10.9775,163.0231,45.13,4.6,mb,,106,3.391,0.79,us,us2000646t,2016-06-21T04:01:48.796Z,"133km ESE of Kirakira, Solomon Islands",earthquake,7.5,5.8,0.073,56,reviewed,us,us
2016-06-13T23:10:45.000Z,64.9661,-147.3812,0,1.3,ml,,,,0.69,ak,ak13645521,2016-06-17T01:03:17.937Z,"19km NNE of Badger, Alaska",earthquake,0.2,,,,reviewed,ak,ak
2016-06-13T23:10:43.610Z,33.4781667,-116.4426667,12.03,1.9,ml,63,45,0.04729,0.21,ci,ci37386087,2016-06-14T17:05:48.390Z,"23km ESE of Anza, CA",earthquake,0.19,0.44,0.141,26,reviewed,ci,ci
2016-06-13T22:57:24.000Z,60.1828,-141.3972,0,1.4,ml,,,,0.48,ak,ak13645519,2016-06-17T01:03:20.237Z,"58km ENE of Cape Yakataga, Alaska",earthquake,0.5,,,,reviewed,ak,ak
2016-06-13T22:51:12.000Z,62.0856,-148.8456,28.3,2.1,ml,,,,0.59,ak,ak13645512,2016-06-17T01:03:19.620Z,"32km N of Sutton-Alpine, Alaska",earthquake,0.2,0.4,,,reviewed,ak,ak
2016-06-13T22:48:18.113Z,38.6582,-118.7966,5.6,1.1,ml,10,140.2,0.217,0.1323,nn,nn00547917,2016-06-13T23:43:51.881Z,"21km NW of Hawthorne, Nevada",earthquake,,2.8,0.26,4,reviewed,nn,nn
2016-06-13T22:40:48.000Z,53.7437,-166.1206,70.5,1.3,ml,,,,0.09,ak,ak13653829,2016-06-17T01:03:38.810Z,"30km ESE of Unalaska, Alaska",earthquake,6.6,1.3,,,reviewed,ak,ak
2016-06-13T22:38:32.297Z,38.6566,-118.7945,7.5,1.8,ml,20,80.96,0.201,0.1479,nn,nn00548087,2016-06-14T22:52:01.932Z,"20km NW of Hawthorne, Nevada",earthquake,,2,0.26,7,reviewed,nn,nn
2016-06-13T22:37:20.331Z,38.6561,-118.7923,13.9,1.8,ml,15,97.89,0.213,0.2038,nn,nn00547921,2016-06-13T23:34:35.419Z,"20km NW of Hawthorne, Nevada",earthquake,,2.6,0.32,4,reviewed,nn,nn
2016-06-13T22:36:34.144Z,38.657,-118.7933,7.3,2,ml,18,97.96,0.214,0.1739,nn,nn00547915,2016-06-13T23:19:04.275Z,"20km NW of Hawthorne, Nevada",earthquake,,3.1,0.25,7,reviewed,nn,nn
2016-06-13T22:29:00.840Z,44.6308333,-123.4193333,-0.42,1.13,ml,10,177,0.09365,0.38,uw,uw61167651,2016-06-14T17:55:08.960Z,"10km NNW of Philomath, Oregon",explosion,2.02,31.61,0.074,2,reviewed,uw,uw
2016-06-13T22:19:07.140Z,33.079,-115.0008333,-0.15,2.18,ml,8,158,0.1082,0.11,ci,ci37386031,2016-06-15T23:03:00.048Z,"46km NE of Holtville, CA",quarry blast,0.55,31.61,0.177,3,reviewed,ci,ci
2016-06-13T22:15:26.000Z,60.952,-147.0093,22.9,1,ml,,,,0.42,ak,ak13653828,2016-06-17T01:03:13.341Z,"40km WSW of Valdez, Alaska",earthquake,0.6,0.5,,,reviewed,ak,ak
2016-06-13T22:15:11.830Z,33.4786667,-116.445,11.84,1.38,ml,48,54,0.04744,0.26,ci,ci37386015,2016-06-14T17:05:27.341Z,"23km ESE of Anza, CA",earthquake,0.28,0.6,0.146,27,reviewed,ci,ci
2016-06-13T22:10:03.390Z,38.7936668,-122.7369995,1.89,1,md,10,88,0.01042,0.03,nc,nc72651146,2016-06-13T22:33:03.108Z,"2km NE of The Geysers, California",earthquake,0.27,0.5,0.14,4,automatic,nc,nc
2016-06-13T22:05:58.000Z,63.2374,-151.2373,2.4,1.3,ml,,,,0.42,ak,ak13645313,2016-06-17T01:03:22.861Z,"115km W of Cantwell, Alaska",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-06-13T21:59:05.780Z,4.2324,-82.6336,10,4.6,mb,,80,4.319,1.18,us,us2000646g,2016-06-13T22:40:29.731Z,"South of Panama",earthquake,6.6,1.9,0.057,92,reviewed,us,us
2016-06-13T21:59:00.480Z,44.3678333,-110.7528333,1.94,1.98,md,7,96,0.1025,0.23,uu,uu60150702,2016-06-14T20:16:51.550Z,"11km SSE of Old Faithful Geyser, Wyoming",earthquake,0.68,2.99,0.33,3,reviewed,uu,uu
2016-06-13T21:54:51.970Z,33.4763333,-116.4051667,7.87,1.12,ml,48,83,0.04998,0.16,ci,ci37385999,2016-06-16T21:45:44.050Z,"23km SSW of La Quinta, CA",earthquake,0.17,0.54,0.128,38,reviewed,ci,ci
2016-06-13T21:37:49.670Z,33.9945,-117.1643333,13.84,1.44,ml,63,45,0.05942,0.15,ci,ci37385983,2016-06-16T21:23:10.300Z,"7km SSE of Redlands, CA",earthquake,0.14,0.34,0.162,58,reviewed,ci,ci
2016-06-13T21:27:35.000Z,59.7418,-153.1211,99.5,2.1,ml,,,,0.54,ak,ak13645311,2016-06-17T01:03:22.240Z,"72km W of Anchor Point, Alaska",earthquake,0.5,0.4,,,reviewed,ak,ak
2016-06-13T21:17:17.190Z,37.3843333,-118.8335,8.35,1.2,md,32,155,0.1182,0.06,nc,nc72651141,2016-06-14T19:32:03.190Z,"31km SSE of Mammoth Lakes, California",earthquake,0.26,1.05,0.213,25,reviewed,nc,nc
2016-06-13T21:15:27.670Z,49.4635,-120.5256667,-0.53,2.38,md,10,229,0.6118,0.41,uw,uw61167616,2016-06-13T22:48:58.620Z,"1km WNW of Princeton, Canada",explosion,3.5,31.61,0.136,9,reviewed,uw,uw
2016-06-13T21:13:14.000Z,59.9594,-139.55,0,1.3,ml,,,,0.83,ak,ak13645309,2016-06-17T01:03:01.115Z,"47km NNE of Yakutat, Alaska",earthquake,0.7,,,,reviewed,ak,ak
2016-06-13T20:57:45.625Z,41.9451,-119.612,12.9,1.4,ml,5,209.89,0.134,0.197,nn,nn00547913,2016-06-13T22:23:25.227Z,"66km ESE of Lakeview, Oregon",earthquake,,4.4,0.4,5,reviewed,nn,nn
2016-06-13T20:52:48.170Z,35.3396667,-119.0753333,24.76,1.64,ml,28,65,0.02428,0.17,ci,ci37385943,2016-06-16T20:56:38.503Z,"4km WSW of Bakersfield, CA",earthquake,0.27,0.58,0.138,28,reviewed,ci,ci
2016-06-13T20:50:22.810Z,32.5291667,-117.0343333,-0.21,1.65,ml,15,281,0.1178,0.24,ci,ci37385951,2016-06-15T22:57:23.220Z,"1km W of Tijuana, B.C., MX",quarry blast,3.11,31.61,0.166,12,reviewed,ci,ci
2016-06-13T20:34:53.010Z,36.6906667,-121.1835,10.65,1.3,md,18,88,0.07615,0.12,nc,nc72651131,2016-06-15T06:22:02.302Z,"21km SE of Ridgemark, California",earthquake,0.44,1.07,0.214,16,reviewed,nc,nc
2016-06-13T20:22:22.000Z,52.3512,-168.7299,8.8,1.8,ml,,,,0.52,ak,ak13653823,2016-06-17T01:03:12.684Z,"65km S of Nikolski, Alaska",earthquake,2.1,2.4,,,reviewed,ak,ak
2016-06-13T20:22:04.270Z,19.3705,-155.2848333,2.732,2.3,ml,33,60,0.01622,0.08,hv,hv61296651,2016-06-13T21:41:16.700Z,"8km SW of Volcano, Hawaii",earthquake,0.19,0.25,0.123,10,reviewed,hv,hv
2016-06-13T20:19:15.000Z,51.531,-177.2937,47.7,1.8,ml,,,,0.31,ak,ak13645306,2016-06-17T01:03:00.147Z,"58km SW of Adak, Alaska",earthquake,1.2,0.7,,,reviewed,ak,ak
2016-06-13T20:15:23.100Z,17.9395,-66.8277,12,1.9,Md,7,216,0.05928881,0.15,pr,pr16165006,2016-06-13T21:48:31.908Z,"6km S of Indios, Puerto Rico",earthquake,0.8,0.5,0,5,reviewed,pr,pr
2016-06-13T19:59:33.820Z,46.4338333,-122.2655,-1.09,1.26,ml,12,215,0.0561,0.21,uw,uw61167596,2016-06-13T20:10:45.410Z,"13km S of Morton, Washington",explosion,1.41,31.61,0.106,18,reviewed,uw,uw
2016-06-13T19:37:21.000Z,60.8813,-151.7819,78.6,1.6,ml,,,,0.55,ak,ak13645304,2016-06-17T01:03:23.695Z,"34km NW of Nikiski, Alaska",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-06-13T19:29:53.000Z,51.5477,-178.5153,70.7,2.2,ml,,,,0.25,ak,ak13645302,2016-06-17T01:02:59.017Z,"45km SW of Tanaga Volcano, Alaska",earthquake,2.6,0.8,,,reviewed,ak,ak
2016-06-13T19:17:05.000Z,60.0883,-134.0995,28.2,3.4,ml,,,,0.54,ak,ak13645300,2016-06-17T22:36:00.132Z,"61km NNW of Atlin, Canada",earthquake,0.4,0.6,,,reviewed,ak,ak
2016-06-13T19:12:07.410Z,36.703,-121.1815,8.88,1.39,md,20,67,0.08233,0.15,nc,nc72651126,2016-06-15T01:58:03.592Z,"20km SE of Ridgemark, California",earthquake,0.39,2.02,0.183,16,reviewed,nc,nc
2016-06-13T19:10:54.990Z,35.0065,-118.1786667,-1.18,1.09,ml,7,156,0.1338,0.13,ci,ci37385863,2016-06-15T22:50:47.173Z,"5km S of Mojave, CA",quarry blast,0.53,31.61,0.227,4,reviewed,ci,ci
2016-06-13T19:02:51.490Z,45.9976667,-112.4631667,-2,1.75,ml,7,167,0.176,0.1,mb,mb80153844,2016-06-13T19:21:15.270Z,"5km E of Butte, Montana",quarry blast,0.59,31.61,0.124,4,reviewed,mb,mb
2016-06-13T18:59:18.080Z,33.477,-116.4445,12.63,2.54,ml,84,25,0.04887,0.15,ci,ci37385847,2016-06-14T14:31:50.816Z,"23km ESE of Anza, CA",earthquake,0.11,0.26,0.133,113,reviewed,ci,ci
2016-06-13T18:49:50.000Z,38.8378334,-122.8243332,1.41,1.13,md,14,64,0.008743,0.03,nc,nc72651116,2016-06-13T21:00:04.890Z,"8km WNW of Cobb, California",earthquake,0.24,0.51,0.08,4,automatic,nc,nc
2016-06-13T18:18:02.990Z,41.1363333,-112.9028333,1.36,1.84,ml,20,109,0.2358,0.19,uu,uu60150687,2016-06-13T21:39:07.820Z,"65km W of Hooper, Utah",earthquake,0.54,1.22,0.042,7,reviewed,uu,uu
2016-06-13T18:09:35.000Z,62.1627,-152.1277,101.9,1.2,ml,,,,0.34,ak,ak13653817,2016-06-17T01:03:37.334Z,"106km W of Talkeetna, Alaska",earthquake,0.9,1,,,reviewed,ak,ak
2016-06-13T17:59:04.690Z,4.3647,128.018,76.21,4.5,mb,,137,3.62,0.75,us,us2000644x,2016-06-13T18:42:39.321Z,"291km N of Tobelo, Indonesia",earthquake,10.4,8.7,0.086,40,reviewed,us,us
2016-06-13T17:42:47.120Z,46.4911667,-122.3995,18.72,1.09,ml,11,180,0.1435,0.11,uw,uw61167546,2016-06-13T21:41:16.960Z,"12km SW of Morton, Washington",earthquake,0.8,1.59,0.101,12,reviewed,uw,uw
2016-06-13T17:41:00.560Z,-50.9241,139.5572,10,5,mb,,72,9.611,0.63,us,us2000644p,2016-06-13T18:33:02.014Z,"Western Indian-Antarctic Ridge",earthquake,12.5,1.9,0.105,29,reviewed,us,us
2016-06-13T17:37:59.260Z,46.4946667,-122.4108333,18.36,1.52,ml,20,179,0.1518,0.09,uw,uw61167541,2016-06-13T17:49:20.980Z,"12km SW of Morton, Washington",earthquake,0.57,1.04,0.134,21,reviewed,uw,uw
2016-06-13T17:36:24.690Z,36.2183333,-117.2138333,2.08,1.01,ml,16,103,0.2743,0.19,ci,ci37385727,2016-06-15T21:49:50.655Z,"41km SW of Furnace Creek, CA",earthquake,0.42,1.25,0.061,10,reviewed,ci,ci
2016-06-13T17:34:16.000Z,53.047,-167.1875,49.3,3.3,ml,,,,0.51,ak,ak13645098,2016-06-17T01:04:31.664Z,"101km SSW of Unalaska, Alaska",earthquake,2.1,2.3,,,reviewed,ak,ak
2016-06-13T17:27:19.000Z,59.1527,-150.8619,13.3,1.5,ml,,,,0.41,ak,ak13645097,2016-06-17T22:34:45.571Z,"67km SE of Homer, Alaska",earthquake,1,1.2,,,reviewed,ak,ak
2016-06-13T16:56:14.000Z,60.514,-152.034,81.4,1.3,ml,,,,0.33,ak,ak13644906,2016-06-17T01:03:28.269Z,"39km E of Redoubt Volcano, Alaska",earthquake,0.6,1,,,reviewed,ak,ak
2016-06-13T16:44:20.180Z,37.252,-121.6355,4.71,1.56,md,40,50,0.08867,0.06,nc,nc72651091,2016-06-15T03:46:02.879Z,"13km N of Morgan Hill, California",earthquake,0.13,0.42,0.14,36,reviewed,nc,nc
2016-06-13T16:42:26.000Z,61.3376,-150.6345,55.9,1.3,ml,,,,0.52,ak,ak13644905,2016-06-17T01:02:29.453Z,"41km WNW of Anchorage, Alaska",earthquake,0.5,0.6,,,reviewed,ak,ak
2016-06-13T16:39:23.303Z,39.594,-115.7789,1.8,1.1,ml,5,97.96,0.92,0.2727,nn,nn00547886,2016-06-13T20:20:05.629Z,"18km ENE of Eureka, Nevada",earthquake,,7.9,0,1,reviewed,nn,nn
2016-06-13T16:31:44.000Z,60.0923,-134.1445,16.2,1.9,ml,,,,0.5,ak,ak13644900,2016-06-17T22:34:40.531Z,"62km NNW of Atlin, Canada",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-06-13T16:27:59.210Z,34.3243333,-116.9423333,-1.35,1.53,ml,33,72,0.06441,0.15,ci,ci37385663,2016-06-13T19:12:46.040Z,"9km NNW of Big Bear Lake, CA",quarry blast,0.3,31.61,0.091,19,reviewed,ci,ci
2016-06-13T16:26:48.410Z,41.9931,-126.0173,10.38,3.2,ml,,251,1.351,0.44,us,us2000643d,2016-06-13T18:18:27.364Z,"139km WSW of Gold Beach, Oregon",earthquake,5.1,9.7,0.045,64,reviewed,us,us
2016-06-13T16:01:11.570Z,32.4568,141.5841,26.76,4.4,mb,,124,1.629,0.51,us,us2000643b,2016-06-13T17:23:12.207Z,"181km ESE of Hachijo-jima, Japan",earthquake,8.4,6,0.094,33,reviewed,us,us
2016-06-13T15:39:15.090Z,33.4695,-116.4881667,9.72,1.15,ml,43,76,0.07493,0.23,ci,ci37385615,2016-06-14T17:07:36.590Z,"20km ESE of Anza, CA",earthquake,0.26,0.49,0.13,27,reviewed,ci,ci
2016-06-13T15:23:03.420Z,33.9855,-116.9461667,18.23,1.08,ml,24,71,0.06357,0.21,ci,ci37385599,2016-06-14T17:07:09.120Z,"7km NNE of Beaumont, CA",earthquake,0.33,0.69,0.177,30,reviewed,ci,ci
2016-06-13T14:55:12.070Z,5.5166,126.0491,104.49,4.5,mb,,81,1.612,0.71,us,us20006434,2016-06-13T16:42:37.331Z,"63km SE of Caburan, Philippines",earthquake,8.5,7,0.067,66,reviewed,us,us
2016-06-13T14:55:03.740Z,36.631,-119.2493333,23.29,2.24,md,24,98,0.1886,0.12,nc,nc72651056,2016-06-14T05:45:03.663Z,"5km E of Orange Cove, California",earthquake,0.98,0.59,0.123,21,reviewed,nc,nc
2016-06-13T14:50:05.600Z,33.4585,-117.6598333,16.37,1.37,ml,23,136,0.09385,0.12,ci,ci37385567,2016-06-17T01:39:49.894Z,"4km ESE of Dana Point, CA",earthquake,0.29,0.64,0.119,34,reviewed,ci,ci
2016-06-13T14:45:16.370Z,12.9979,-88.581,69.05,4.4,mb,,110,0.932,1.12,us,us2000642z,2016-06-13T16:26:17.018Z,"31km S of Puerto El Triunfo, El Salvador",earthquake,6.6,7.2,0.051,112,reviewed,us,us
2016-06-13T14:12:11.910Z,41.1528,-73.5941,2.51,1.4,ml,,81,0.201,0.23,us,us2000643l,2016-06-15T04:46:32.040Z,"4km WNW of North Stamford, Connecticut",earthquake,0.9,5,0.115,10,reviewed,us,us
2016-06-13T14:11:35.000Z,55.4126,-158.3569,19.7,3.4,ml,,,,0.48,ak,ak13644516,2016-06-17T22:36:07.678Z,"97km SSE of Chignik Lake, Alaska",earthquake,0.7,2.5,,,reviewed,ak,ak
2016-06-13T14:09:25.290Z,38.0161667,-111.0486667,6.37,1.76,ml,12,125,0.2548,0.11,uu,uu60150682,2016-06-13T21:49:56.820Z,"49km SW of Hanksville, Utah",earthquake,0.37,2.81,0.459,4,reviewed,uu,uu
2016-06-13T14:06:37.200Z,18.812,-66.095,46,2.7,Md,8,234,0.50036161,0.23,pr,pr16165005,2016-06-13T17:29:59.040Z,"38km N of San Juan, Puerto Rico",earthquake,1.3,2.7,0,4,reviewed,pr,pr
2016-06-13T14:06:29.269Z,39.5659,-115.7521,9.4,1.3,ml,4,134.16,0.887,0.2077,nn,nn00547821,2016-06-14T02:36:15.373Z,"18km ENE of Eureka, Nevada",earthquake,,7.3,0,1,reviewed,nn,nn
2016-06-13T14:01:38.000Z,53.312,-166.9528,62.5,1.7,ml,,,,0.32,ak,ak13653809,2016-06-17T01:03:36.434Z,"68km SSW of Unalaska, Alaska",earthquake,5.5,3.1,,,reviewed,ak,ak
2016-06-13T13:58:55.000Z,62.9283,-150.8118,106.6,1.2,ml,,,,0.35,ak,ak13644515,2016-06-17T01:02:30.177Z,"76km NNW of Talkeetna, Alaska",earthquake,0.6,0.6,,,reviewed,ak,ak
2016-06-13T13:57:57.000Z,36.3897,-97.1579,5,2.5,mb_lg,,52,0.373,0.24,us,us2000642t,2016-06-13T15:01:16.165Z,"16km NE of Perry, Oklahoma",earthquake,1.7,2,0.098,27,reviewed,us,us
2016-06-13T13:57:49.850Z,39.592,-115.8132,1.6,2.8,ml,,72,0.94,0.42,us,us2000642u,2016-06-14T23:10:23.771Z,"15km NE of Eureka, Nevada",earthquake,3.4,7.8,0.47,5,reviewed,nn,nn
2016-06-13T13:50:39.720Z,44.733,-111.7476667,12.7,1.32,ml,10,71,0.059,0.12,mb,mb80153739,2016-06-13T14:07:14.950Z,"51km W of West Yellowstone, Montana",earthquake,0.49,0.73,0.066,4,reviewed,mb,mb
2016-06-13T13:48:28.020Z,-29.0438,61.0957,14.55,4.6,mb,,79,9.217,0.94,us,us2000642v,2016-06-13T15:31:34.777Z,"Southwest Indian Ridge",earthquake,12.6,4.6,0.117,22,reviewed,us,us
2016-06-13T13:43:11.420Z,32.9446667,-115.579,10.55,1.25,ml,16,101,0.09337,0.26,ci,ci37385519,2016-06-17T01:46:54.371Z,"6km SW of Brawley, CA",earthquake,0.47,1.02,0.162,15,reviewed,ci,ci
2016-06-13T13:41:27.000Z,63.0411,-150.8797,117.4,1.3,ml,,,,0.29,ak,ak13644326,2016-06-17T01:02:32.377Z,"89km NNW of Talkeetna, Alaska",earthquake,0.7,0.8,,,reviewed,ak,ak
2016-06-13T13:39:06.000Z,62.1008,-148.1844,27.4,1.4,ml,,,,0.61,ak,ak13644324,2016-06-17T01:02:31.545Z,"48km NE of Sutton-Alpine, Alaska",earthquake,0.2,0.7,,,reviewed,ak,ak
2016-06-13T13:35:50.000Z,61.2721,-146.7672,4.7,1,ml,,,,0.61,ak,ak13644323,2016-06-17T01:02:34.235Z,"27km NW of Valdez, Alaska",earthquake,0.2,0.3,,,reviewed,ak,ak
2016-06-13T13:12:41.760Z,35.7305,-118.1655,10.54,1.82,ml,33,36,0.07165,0.14,ci,ci37385471,2016-06-15T17:02:38.756Z,"24km E of Kernville, CA",earthquake,0.16,0.34,0.229,30,reviewed,ci,ci
