time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-21T16:07:52.070Z,0.8817,97.3583,30,4.4,mb,,111,0.472,0.4,us,us200065r5,2016-06-21T20:13:50.208Z,"184km WSW of Sibolga, Indonesia",earthquake,4.6,5.2,0.112,23,reviewed,us,us
2016-06-21T16:07:41.250Z,40.3669,52.9143,49.17,4.3,mb,,83,4.72,1.43,us,us200065qy,2016-06-21T19:25:41.148Z,"38km N of Turkmenbasy, Turkmenistan",earthquake,9.2,9.7,0.116,21,reviewed,us,us
2016-06-21T16:07:23.600Z,18.3668,-64.722,74,2.1,Md,6,169.2,0.05839049,0.03,pr,pr16173006,2016-06-21T19:34:59.128Z,"12km WSW of Road Town, British Virgin Islands",earthquake,4.7,0.7,0,6,reviewed,pr,pr
2016-06-21T16:02:23.000Z,65.3949,-144.7566,0,1.4,ml,,,,0.81,ak,ak13673752,2016-06-21T16:27:53.564Z,"8km SSW of Circle Hot Springs Station, Alaska",earthquake,0.8,0.6,,,automatic,ak,ak
2016-06-21T15:39:52.000Z,61.0895,-152.3802,114.1,1.7,ml,,,,0.99,ak,ak13673748,2016-06-21T16:27:52.904Z,"70km NNE of Redoubt Volcano, Alaska",earthquake,0.8,0.8,,,automatic,ak,ak
2016-06-21T15:16:46.000Z,60.4449,-153.8801,1.3,1.2,ml,,,,0.28,ak,ak13673318,2016-06-21T15:53:03.872Z,"62km W of Redoubt Volcano, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-06-21T15:13:03.000Z,58.4828,-154.5162,0,1.9,ml,,,,0.69,ak,ak13673317,2016-06-21T15:53:03.206Z,"109km NNW of Larsen Bay, Alaska",earthquake,1.4,0.3,,,automatic,ak,ak
2016-06-21T14:52:37.780Z,0.969,97.3807,31.44,4.8,mb,,47,0.385,0.94,us,us200065qm,2016-06-21T15:49:40.493Z,"177km WSW of Sibolga, Indonesia",earthquake,7.7,4.8,0.069,64,reviewed,us,us
2016-06-21T14:44:00.900Z,18.139,-67.7393,126,2.9,Md,6,298.8,0.34585138,0.17,pr,pr16173005,2016-06-21T19:02:19.040Z,"55km WSW of Stella, Puerto Rico",earthquake,1.9,0.9,0,4,reviewed,pr,pr
2016-06-21T14:26:29.000Z,61.3118,-152.502,0,1.6,ml,,,,0.7,ak,ak13672884,2016-06-21T15:17:35.789Z,"93km N of Redoubt Volcano, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-06-21T14:10:24.030Z,-2.1581,99.442,28.49,5.3,mb,,153,2.939,0.62,us,us200065qj,2016-06-21T14:58:53.725Z,"67km SSE of Muara Siberut, Indonesia",earthquake,6.4,3.1,0.06,93,reviewed,us,us
2016-06-21T14:05:14.000Z,60.3167,-152.2985,91.8,2.4,ml,,,,0.51,ak,ak13672878,2016-06-21T14:45:18.891Z,"30km SE of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
